pair,signal_time,entry_price,exit_time,exit_price,pnl_pct_net,pnl_dollars,position_dollars,exit_reason,score,shadow_balance_after
FETUSDT,2026-09-01 00:00:00+00:00,0.1533,2026-09-01 08:00:00+00:00,0.1555995,1.2,141.95,11829.58,TP 🟢,0.6770172371468892,35630.7
MEGAUSDT,2026-09-01 00:00:00+00:00,0.03794,2026-09-01 10:00:00+00:00,0.03825300500000001,0.525,62.35,11876.9,Trail-Lock 🔒,0.6453620507903649,35693.06
GRTUSDT,2026-09-01 00:00:00+00:00,0.01635,2026-09-01 08:00:00+00:00,0.0161865,-1.3,-154.67,11897.69,SL 🔴,0.5885034732965928,35538.39
PHAUSDT,2026-09-01 00:00:00+00:00,0.0249,2026-09-01 08:00:00+00:00,0.024651,-1.3,-154.0,11846.13,SL 🔴,0.5671569579440275,35384.39
TRBUSDT,2026-09-01 05:00:00+00:00,16.96,2026-09-01 08:00:00+00:00,16.7904,-1.3,-153.33,11794.8,SL 🔴,0.5532980481952463,35231.05
BREVUSDT,2026-09-01 00:00:00+00:00,0.0744,2026-09-01 08:00:00+00:00,0.075516,1.2,140.92,11743.68,TP 🟢,0.536621980122967,35371.98
ENJUSDT,2026-09-01 00:00:00+00:00,0.02454,2026-09-01 08:00:00+00:00,0.024742455,0.525,61.9,11790.66,Trail-Lock 🔒,0.5026781273000107,35433.88
VIRTUALUSDT,2026-09-01 05:00:00+00:00,0.7022,2026-09-01 08:00:00+00:00,0.7079931500000001,0.525,62.01,11811.29,Trail-Lock 🔒,0.4960255099453274,35495.89
BCHUSDT,2026-09-01 05:00:00+00:00,248.4,2026-09-01 08:00:00+00:00,245.916,-1.3,-153.82,11831.96,SL 🔴,0.4705514158259503,35342.07
SSVUSDT,2026-09-01 05:00:00+00:00,2.787,2026-09-01 08:00:00+00:00,2.75913,-1.3,-153.15,11780.69,SL 🔴,0.46664406150435084,35188.92
SEIUSDT,2026-09-01 00:00:00+00:00,0.04451,2026-09-01 10:00:00+00:00,0.0448772075,0.525,61.58,11729.64,Trail-Lock 🔒,0.4509387344284399,35250.5
ALTUSDT,2026-09-01 00:00:00+00:00,0.00611,2026-09-01 12:30:00+00:00,0.0061,-0.4637,-54.69,11794.8,Timeout ⏱️,0.5652561778543845,35195.82
FLUXUSDT,2026-09-01 00:00:00+00:00,0.0491,2026-09-01 11:30:00+00:00,0.048609,-1.3,-152.52,11731.94,SL 🔴,0.7617894041591355,35043.3
STEEMUSDT,2026-09-01 10:00:00+00:00,0.04305,2026-09-01 13:00:00+00:00,0.0434051625,0.525,61.33,11681.1,Trail-Lock 🔒,0.6749097210129706,35104.63
KSMUSDT,2026-09-01 14:30:00+00:00,3.63,2026-09-01 16:30:00+00:00,3.6599475,0.525,61.43,11701.54,Trail-Lock 🔒,0.8183979074614844,35166.06
STXUSDT,2026-09-01 14:30:00+00:00,0.2573,2026-09-01 18:00:00+00:00,0.25942272499999997,0.525,61.54,11722.02,Trail-Lock 🔒,0.7956393002078728,35227.6
SIGNUSDT,2026-09-01 10:00:00+00:00,0.00874,2026-09-01 18:30:00+00:00,0.0088711,1.2,140.91,11742.53,TP 🟢,0.8007914907047011,35368.51
